blk_no,street,max_floor_lvl,year_completed,towns,address,postalcode,latitude,longitude,distance_km,nearest_mrt
174,BT BATOK WEST AVE 8,4,1984,BUKIT BATOK,174 BT BATOK WEST AVE 8,650174,1.34565480634643,103.741047683313,1.0,CHINESE GARDEN MRT STATION
174,LOMPANG RD,16,1996,BUKIT PANJANG,174 LOMPANG RD,670174,1.38021544120199,103.766302173684,0.3,PETIR LRT STATION
174,LOR 1 TOA PAYOH,12,1972,TAMPINES,174 LOR 1 TOA PAYOH,310174,1.3306720968474,103.84191793174,0.7,TOA PAYOH MRT STATION
174,WOODLANDS ST 13,12,1984,WOODLANDS,174 WOODLANDS ST 13,730174,1.43333288494876,103.777755663812,0.4,MARSILING MRT STATION
174,YISHUN AVE 7,12,1986,YISHUN,174 YISHUN AVE 7,760174,1.43739545335207,103.831939137109,0.7,CANBERRA MRT STATION
174A,EDGEDALE PLAINS,17,2001,PUNGGOL,174A EDGEDALE PLAINS,821174,1.39637824000455,103.911280777695,0.3,MERIDIAN LRT STATION
174A,HOUGANG AVE 1,13,2013,HOUGANG,174A HOUGANG AVE 1,531174,1.34959952841041,103.888750009608,1.3,KOVAN MRT STATION
174A,SENGKANG EAST DR,18,2023,SENGKANG,174A SENGKANG EAST DR,541174,1.38612351928445,103.913010715848,0.9,BAKAU LRT STATION
174B,EDGEDALE PLAINS,17,2001,PUNGGOL,174B EDGEDALE PLAINS,822174,1.396731877474,103.910812912681,0.2,MERIDIAN LRT STATION
174B,HOUGANG AVE 1,13,2013,HOUGANG,174B HOUGANG AVE 1,532174,1.34955516910381,103.889276891994,1.3,KOVAN MRT STATION
174B,SENGKANG EAST DR,18,2023,SENGKANG,174B SENGKANG EAST DR,542174,1.38609330739848,103.912321260864,0.8,BAKAU LRT STATION
174C,EDGEDALE PLAINS,17,2001,PUNGGOL,174C EDGEDALE PLAINS,823174,1.39697305141614,103.910424539026,0.2,MERIDIAN LRT STATION
174C,HOUGANG AVE 1,12,2013,HOUGANG,174C HOUGANG AVE 1,533174,1.34912217494098,103.889093320959,1.3,BARTLEY MRT STATION
174D,EDGEDALE PLAINS,17,2001,PUNGGOL,174D EDGEDALE PLAINS,824174,1.3973593328472,103.910118764409,0.1,MERIDIAN LRT STATION
174D,HOUGANG AVE 1,12,2013,HOUGANG,174D HOUGANG AVE 1,539174,1.34918475097231,103.888464914524,1.2,BARTLEY MRT STATION
175,ANG MO KIO AVE 4,11,1980,ANG MO KIO,175 ANG MO KIO AVE 4,560175,1.37572264709308,103.837123341994,0.2,MAYFLOWER MRT STATION
175,BISHAN ST 13,9,1986,BISHAN,175 BISHAN ST 13,570175,1.34896062200566,103.853736013686,0.5,BISHAN MRT STATION
175,BOON LAY DR,11,1974,JURONG WEST,175 BOON LAY DR,640175,1.34668916681369,103.709485323529,1.0,BOON LAY MRT STATION
175,BT BATOK WEST AVE 8,8,1984,BUKIT BATOK,175 BT BATOK WEST AVE 8,650175,1.34554897953938,103.741598629749,1.0,CHINESE GARDEN MRT STATION
175,LOMPANG RD,25,1996,BUKIT PANJANG,175 LOMPANG RD,670175,1.37979604054277,103.765989537263,0.3,PETIR LRT STATION
175,LOR 2 TOA PAYOH,25,1973,TAMPINES,175 LOR 2 TOA PAYOH,310175,1.33339638797854,103.847053798767,0.1,TOA PAYOH MRT STATION
175,WOODLANDS ST 13,12,1984,WOODLANDS,175 WOODLANDS ST 13,730175,1.4336190304618,103.777755926451,0.4,MARSILING MRT STATION
175,YISHUN AVE 7,16,1986,YISHUN,175 YISHUN AVE 7,760175,1.43760321425304,103.832468232948,0.7,CANBERRA MRT STATION
175A,PUNGGOL FIELD,17,2001,PUNGGOL,175A PUNGGOL FIELD,821175,1.39740421637591,103.908973749809,0.1,MERIDIAN LRT STATION
175A,SENGKANG EAST DR,18,2023,SENGKANG,175A SENGKANG EAST DR,541175,1.38621582194385,103.911589850803,0.7,BAKAU LRT STATION
175A,YUNG KUANG RD,20,2014,JURONG WEST,175A YUNG KUANG RD,611175,1.33193786368443,103.721561508725,1.4,LAKESIDE MRT STATION
